time = 38719978, x = 640, y = 505, flags = 0, message = 512
time = 38719978, x = 636, y = 514, flags = 0, message = 512
time = 38719994, x = 633, y = 520, flags = 0, message = 512
time = 38719994, x = 629, y = 525, flags = 0, message = 512
time = 38720009, x = 625, y = 534, flags = 0, message = 512
time = 38720009, x = 621, y = 538, flags = 0, message = 512
time = 38720025, x = 618, y = 543, flags = 0, message = 512
time = 38720025, x = 613, y = 550, flags = 0, message = 512
time = 38720040, x = 610, y = 553, flags = 0, message = 512
time = 38720040, x = 605, y = 557, flags = 0, message = 512
time = 38720056, x = 599, y = 562, flags = 0, message = 512
time = 38720056, x = 594, y = 564, flags = 0, message = 512
time = 38720072, x = 589, y = 567, flags = 0, message = 512
time = 38720072, x = 581, y = 569, flags = 0, message = 512
time = 38720087, x = 574, y = 571, flags = 0, message = 512
time = 38720103, x = 568, y = 572, flags = 0, message = 512
time = 38720103, x = 560, y = 573, flags = 0, message = 512
time = 38720118, x = 554, y = 573, flags = 0, message = 512
time = 38720118, x = 550, y = 573, flags = 0, message = 512
time = 38720134, x = 543, y = 573, flags = 0, message = 512
time = 38720134, x = 539, y = 573, flags = 0, message = 512
time = 38720150, x = 536, y = 573, flags = 0, message = 512
time = 38720150, x = 531, y = 571, flags = 0, message = 512
time = 38720165, x = 527, y = 568, flags = 0, message = 512
time = 38720165, x = 524, y = 565, flags = 0, message = 512
time = 38720181, x = 517, y = 559, flags = 0, message = 512
time = 38720181, x = 512, y = 554, flags = 0, message = 512
time = 38720196, x = 509, y = 549, flags = 0, message = 512
time = 38720196, x = 504, y = 542, flags = 0, message = 512
time = 38720212, x = 501, y = 536, flags = 0, message = 512
time = 38720212, x = 499, y = 530, flags = 0, message = 512
time = 38720228, x = 497, y = 523, flags = 0, message = 512
time = 38720228, x = 497, y = 517, flags = 0, message = 512
time = 38720243, x = 497, y = 513, flags = 0, message = 512
time = 38720243, x = 497, y = 507, flags = 0, message = 512
time = 38720259, x = 498, y = 504, flags = 0, message = 512
time = 38720259, x = 499, y = 502, flags = 0, message = 512
time = 38720274, x = 500, y = 497, flags = 0, message = 512
time = 38720274, x = 502, y = 495, flags = 0, message = 512
time = 38720290, x = 503, y = 493, flags = 0, message = 512
time = 38720290, x = 504, y = 490, flags = 0, message = 512
time = 38720306, x = 506, y = 488, flags = 0, message = 512
time = 38720306, x = 507, y = 487, flags = 0, message = 512
time = 38720321, x = 508, y = 485, flags = 0, message = 512
time = 38720321, x = 510, y = 483, flags = 0, message = 512
time = 38720337, x = 511, y = 482, flags = 0, message = 512
time = 38720337, x = 512, y = 481, flags = 0, message = 512
time = 38720352, x = 515, y = 480, flags = 0, message = 512
time = 38720352, x = 516, y = 479, flags = 0, message = 512
time = 38720368, x = 519, y = 478, flags = 0, message = 512
time = 38720368, x = 521, y = 477, flags = 0, message = 512
time = 38720384, x = 522, y = 477, flags = 0, message = 512
time = 38720384, x = 524, y = 476, flags = 0, message = 512
time = 38720399, x = 526, y = 476, flags = 0, message = 512
time = 38720415, x = 526, y = 476, flags = 0, message = 512
time = 38720415, x = 527, y = 476, flags = 0, message = 512
time = 38720430, x = 528, y = 476, flags = 0, message = 512
time = 38720446, x = 529, y = 476, flags = 0, message = 512
time = 38720586, x = 529, y = 476, flags = 0, message = 513
time = 38720758, x = 529, y = 476, flags = 0, message = 512
